symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
VMM,orb_vwap,MIS,2026-06-15 12:45:00,2026-06-15 15:15:00,120.5,120.7,248,-49.6,-81.32,-0.22,forced_close
ZYDUSLIFE,orb_vwap,MIS,2026-06-15 12:45:00,2026-06-15 15:15:00,1088.8,1088.1,27,18.9,-12.26,0.07,forced_close
ASHOKLEY,orb_vwap,MIS,2026-06-15 13:00:00,2026-06-15 15:15:00,158.16,157.92,189,45.36,13.69,0.16,forced_close
DRREDDY,orb_vwap,MIS,2026-06-15 13:50:00,2026-06-15 15:15:00,1276.4,1280.0,23,-82.8,-113.98,-0.36,forced_close
TATACAP,orb_vwap,MIS,2026-06-15 14:25:00,2026-06-15 15:15:00,339.95,341.05,88,96.8,65.01,0.42,forced_close
SHRIRAMFIN,orb_vwap,MIS,2026-06-15 14:35:00,2026-06-15 15:00:00,1009.05,1001.3,29,-224.75,-255.64,-1.03,vwap_cross
HAVELLS,orb_vwap,MIS,2026-06-15 15:25:00,2026-06-15 15:25:00,1167.1,1167.1,25,-0.0,-30.94,-0.0,eod_data_end
GMRAIRPORT,orb_vwap,MIS,2026-06-16 09:30:00,2026-06-16 09:40:00,110.22,109.12,272,-299.2,-330.8,-1.22,vwap_cross
GROWW,orb_vwap,MIS,2026-06-16 09:30:00,2026-06-16 13:30:00,202.17,201.75,148,62.16,30.47,0.19,vwap_cross
HCLTECH,orb_vwap,MIS,2026-06-16 09:30:00,2026-06-16 10:45:00,1152.9,1151.2,26,-44.2,-75.96,-0.34,vwap_cross
PRESTIGE,orb_vwap,MIS,2026-06-16 09:30:00,2026-06-16 10:05:00,1471.2,1477.7,20,-130.0,-161.29,-0.64,vwap_cross
SUZLON,orb_vwap,MIS,2026-06-16 09:30:00,2026-06-16 10:50:00,57.28,57.87,523,308.57,276.6,0.77,vwap_cross
NATIONALUM,orb_vwap,MIS,2026-06-16 09:40:00,2026-06-16 14:15:00,363.6,363.5,82,8.2,-23.41,0.03,vwap_cross
TATACAP,orb_vwap,MIS,2026-06-16 09:45:00,2026-06-16 09:50:00,342.5,344.8,87,-200.1,-231.83,-0.96,vwap_cross
TATACONSUM,orb_vwap,MIS,2026-06-16 09:45:00,2026-06-16 15:15:00,1123.3,1131.7,26,218.4,187.29,1.2,forced_close
BAJAJFINSV,orb_vwap,MIS,2026-06-16 09:50:00,2026-06-16 11:15:00,1793.9,1781.2,16,-203.2,-233.51,-0.82,vwap_cross
BAJFINANCE,orb_vwap,MIS,2026-06-16 09:50:00,2026-06-16 10:05:00,962.8,957.35,31,-168.95,-200.49,-1.32,vwap_cross
ICICIAMC,orb_vwap,MIS,2026-06-16 10:00:00,2026-06-16 10:40:00,3251.4,3275.3,9,-215.1,-246.27,-1.02,vwap_cross
UNITDSPR,orb_vwap,MIS,2026-06-16 10:20:00,2026-06-16 15:15:00,1280.0,1300.6,23,473.8,442.28,3.25,forced_close
VOLTAS,orb_vwap,MIS,2026-06-16 10:30:00,2026-06-16 11:00:00,1339.0,1333.5,22,-121.0,-152.16,-0.95,vwap_cross
KALYANKJIL,orb_vwap,MIS,2026-06-16 10:40:00,2026-06-16 15:15:00,377.25,378.0,79,-59.25,-90.89,-0.18,forced_close
LGEINDIA,orb_vwap,MIS,2026-06-16 10:40:00,2026-06-16 11:10:00,1560.8,1549.0,19,-224.2,-255.5,-1.26,vwap_cross
360ONE,orb_vwap,MIS,2026-06-16 11:00:00,2026-06-16 15:15:00,1134.5,1130.7,26,98.8,67.58,0.21,forced_close
PHOENIXLTD,orb_vwap,MIS,2026-06-16 11:15:00,2026-06-16 12:15:00,1876.4,1858.4,15,-270.0,-299.67,-1.55,vwap_cross
GODREJCP,orb_vwap,MIS,2026-06-16 12:05:00,2026-06-16 15:10:00,1028.8,1034.9,29,-176.9,-208.65,-0.48,vwap_cross
DMART,orb_vwap,MIS,2026-06-16 14:30:00,2026-06-16 15:15:00,4202.1,4200.7,7,-9.8,-40.99,-0.04,forced_close
BLUESTARCO,orb_vwap,MIS,2026-06-17 09:30:00,2026-06-17 10:45:00,1674.0,1682.1,17,137.7,107.43,0.57,vwap_cross
LGEINDIA,orb_vwap,MIS,2026-06-17 09:30:00,2026-06-17 09:50:00,1571.5,1588.5,19,-323.0,-354.87,-1.25,vwap_cross
OBEROIRLTY,orb_vwap,MIS,2026-06-17 09:30:00,2026-06-17 09:40:00,1652.6,1670.5,18,-322.2,-353.95,-1.27,vwap_cross
TRENT,orb_vwap,MIS,2026-06-17 09:30:00,2026-06-17 15:15:00,2999.8,3102.5,10,1027.0,994.53,3.2,forced_close
VOLTAS,orb_vwap,MIS,2026-06-17 09:30:00,2026-06-17 13:00:00,1371.2,1370.0,21,-25.2,-55.72,-0.11,vwap_cross
COFORGE,orb_vwap,MIS,2026-06-17 09:35:00,2026-06-17 09:50:00,1495.8,1479.0,20,-336.0,-367.51,-1.42,vwap_cross
GODREJPROP,orb_vwap,MIS,2026-06-17 09:35:00,2026-06-17 12:50:00,1774.9,1771.8,16,-49.6,-79.68,-0.24,vwap_cross
NYKAA,orb_vwap,MIS,2026-06-17 09:35:00,2026-06-17 10:15:00,280.0,278.95,107,-112.35,-144.05,-0.8,vwap_cross
TECHM,orb_vwap,MIS,2026-06-17 09:35:00,2026-06-17 10:00:00,1435.3,1427.8,20,-150.0,-180.35,-1.08,vwap_cross
PRESTIGE,orb_vwap,MIS,2026-06-17 09:40:00,2026-06-17 09:50:00,1516.7,1507.8,19,-169.1,-199.55,-1.13,vwap_cross
VMM,orb_vwap,MIS,2026-06-17 09:45:00,2026-06-17 15:15:00,117.64,118.83,255,303.45,271.44,1.09,forced_close
DIXON,orb_vwap,MIS,2026-06-17 09:50:00,2026-06-17 13:45:00,12756,12721,2,-70,-97.01,-0.22,vwap_cross
ICICIGI,orb_vwap,MIS,2026-06-17 09:50:00,2026-06-17 10:35:00,1788.6,1778.8,16,-156.8,-187.05,-0.97,vwap_cross
HUDCO,orb_vwap,MIS,2026-06-17 09:55:00,2026-06-17 12:45:00,213.82,214.7,140,-123.2,-155.02,-0.83,vwap_cross
LICHSGFIN,orb_vwap,MIS,2026-06-17 10:00:00,2026-06-17 10:30:00,546.95,551.25,54,-232.2,-263.67,-1.15,vwap_cross
