symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
APLAPOLLO,bollinger_meanrev,MIS,2026-07-07 09:20:00,2026-07-07 10:15:00,1826.1,1814.0,16,193.6,162.74,1.18,target_mid_band
COFORGE,bollinger_meanrev,MIS,2026-07-07 09:20:00,2026-07-07 09:40:00,1504.0,1506.457142857143,19,-46.69,-77.02,-0.26,trailing_stop
ETERNAL,bollinger_meanrev,MIS,2026-07-07 09:20:00,2026-07-07 09:30:00,286.2,287.40714285714284,104,-125.54,-157.19,-0.71,trailing_stop
INDUSINDBK,bollinger_meanrev,MIS,2026-07-07 09:20:00,2026-07-07 10:15:00,1017.1,1020.7214285714286,29,-105.02,-136.37,-0.48,trailing_stop
NAUKRI,bollinger_meanrev,MIS,2026-07-07 09:20:00,2026-07-07 09:30:00,1041.6,1045.807142857143,28,-117.8,-148.8,-0.75,trailing_stop
TATAINVEST,bollinger_meanrev,MIS,2026-07-07 09:20:00,2026-07-07 09:25:00,672.15,676.8357142857143,44,-206.17,-237.67,-1.21,trailing_stop
TITAN,bollinger_meanrev,MIS,2026-07-07 09:20:00,2026-07-07 09:25:00,4555.8,4585.228571428572,6,-176.57,-205.67,-1.2,trailing_stop
DIXON,bollinger_meanrev,MIS,2026-07-07 09:25:00,2026-07-07 09:40:00,13418,13341.57142857143,2,152.86,124.5,0.79,trailing_stop
JIOFIN,bollinger_meanrev,MIS,2026-07-07 09:25:00,2026-07-07 10:20:00,244.0,244.57,122,-69.54,-101.15,-0.34,trailing_stop
JUBLFOOD,bollinger_meanrev,MIS,2026-07-07 09:25:00,2026-07-07 10:45:00,452.2,450.15,66,135.3,103.74,0.34,target_mid_band
TCS,bollinger_meanrev,MIS,2026-07-07 09:35:00,2026-07-07 09:45:00,2077.5,2089.3142857142857,14,-165.4,-196.35,-0.93,trailing_stop
TECHM,bollinger_meanrev,MIS,2026-07-07 09:35:00,2026-07-07 10:00:00,1421.0,1430.8,21,-205.8,-237.58,-0.92,trailing_stop
